product_id,customer_id,customer_evaluate,content,like_count,rating,score,created_at,rating_1_stars,rating_2_stars,rating_3_stars,rating_4_stars,rating_5_stars
247730209,17479853,Cực kì hài lòng,"Mình đã nhận được điện thoại, hàng còn nguyên đai nguyên kiện, rất đẹp và kiểm tra là chính hãng. nhưng lúc mua mình định mua trả gop mà lúc thanh toán online thì mình lại bấm thanh toán toàn bộ, nay hàng về mới thấy giá chênh lệch 205k. đề nghị nhà bán kiểm tra giúp giao dịch và chuyển lại tiền cho mình số thừa so với giá bán với nhé ạ.",0,5,27.77777778,1694761850,0,1,0,0,14
247730209,198202,Cực kì hài lòng,"Camera cũng tạm, đủ sáng thì ok, camera trước chụp vô như bệnh gan 😇
Điện thoại dùng mượt, màn đẹp, viền cân đội, máy to nhưng cầm thoải mái. Pin ổn",1,5,0.02810384,1681287856,0,1,0,0,14
247730209,8184126,Cực kì hài lòng,"Mua lần nào cũng hài lòng , đặt hôm trước thì hôm sau đã giao , shiper nhiệt tình , giá rẻ hơn ngoài cửa hàng, nguyên seal . Sản phẩm xài mượt , ổn áp . Không biết kích hoạt bảo hành ntn mong tiki kích hoạt giúp .",3,5,0.02381428,1682158466,0,1,0,0,14
247730209,27730054,Cực kì hài lòng,"Đúng nguyen seal, giao hàng nhanh lịch sự, rất hài lòng",0,5,33.33333333,1693921041,0,1,0,0,14
247730209,5375254,Không hài lòng,"Ủa mà dòng này không có sẵn sạc kèm theo trong hộp đựng máy ạ ?
Giao hàng trễ nữa

2 sao",1,2,0.02333102,1683718653,0,1,0,0,14
247730209,21183610,Cực kì hài lòng,No content,0,5,27.77777778,1694918650,0,1,0,0,14
247730209,29389050,Cực kì hài lòng,No content,0,5,27.77777778,1693391213,0,1,0,0,14
247730209,28550994,Cực kì hài lòng,No content,0,5,27.77777778,1693209887,0,1,0,0,14
247730209,73579,Cực kì hài lòng,No content,0,5,27.77777778,1690934928,0,1,0,0,14
91612670,1782844,Cực kì hài lòng,"Máy đẹp nhìn chắc chắn, phụ kiện đầy đủ có cả ốp và dán màn hình. Mua máy cho phụ huynh dùng nên thấy rất phù hợp.",0,5,44.44444444,1692535728,1,1,3,19,186
91612670,17140376,Cực kì hài lòng,"Máy mới nguyên siêu,hàng chính hãng.chất lượng  thật tuyệt vời.",1,5,0.14220102,1691982455,1,1,3,19,186
91612670,29205194,Cực kì hài lòng,"Shop đóng gói cẩn thậ, giao hàng nhan, điện thoại mới nguyên seal, chạy rất o, giá tốt",0,5,33.33333333,1692535746,1,1,3,19,186
91612670,8435229,Cực kì hài lòng,"Sản phẩm nguyên seal , đóng gói cẩn thận",2,5,0.03770423,1678684655,1,1,3,19,186
91612670,29007408,Không hài lòng,Máy yếu . Giật lag . Tôi có thể đổi trả lại không . Và đổi trả có chịu thêm phí không,0,2,33.33333333,1680622562,1,1,3,19,186
91612670,18905209,Cực kì hài lòng,Rat la ok jsjskskdkdld sk djsjdkdkdndodnkdndksndkdjdndndndj sjs đj đk jd đk dj đj dh,1,5,0.03151534,1683904507,1,1,3,19,186
91612670,1822573,Hài lòng,"Tot. Nganh
Giao hang de chiu",0,4,0.28490028,1686822395,1,1,3,19,186
