product_id,sku,product_name,brand_name,categories,current_seller,warranty_time,quantity_sold,rating_average,review_count,price,original_price,discount,discount_rate,stock_item_qty,stock_item_max_sale_qty,short_description,link
259542697,3484252155506,Điện thoại Xiaomi Redmi Note 12S 4G (8GB/256GB) - Hàng chính hãng,Xiaomi,Điện thoại Smartphone,HAPPY PHONE,18 Tháng,26.0,5.0,7.0,6690000.0,6690000.0,0.0,0.0,1000.0,1000.0,"Xiaomi Redmi Note 12S sẽ là chiếc điện thoại tiếp theo được nhà Xiaomi tung ra thị trường Việt Nam trong tháng 05/2023. Điện thoại sở hữu một lối thiết kế hiện đại, màn hình hiển thị chi tiết đi cùng...",https://tiki.vn/dien-thoai-xiaomi-redmi-note-12s-4g-8gb-128gb-hang-chinh-hang-p259542697.html?spid=259542703
216175253,7544800077734,Điện thoại Samsung Galaxy S23 Ultra 5G (12GB/512GB) - Hàng chính hãng,Samsung,Điện thoại Smartphone,Tiki Trading,12 Tháng,14.0,5.0,2.0,36990000.0,36990000.0,0.0,0.0,1000.0,1000.0,"Thiết kế bền vững vì môi trườngĐiện thoại Samsung Galaxy S23 Ultra 5G có thiết kế với sắc màu thiên nhiên tinh tế: Xanh Botanic, Tím Lilac, Kem Cotton và Đen Phantom được chế tác bởi công nghệ hàng đ...",https://tiki.vn/dien-thoai-samsung-galaxy-s23-ultra-5g-8gb-512gb-hang-chinh-hang-p216175253.html?spid=216175259
230155305,1901131422256,Điện thoại Xiaomi Redmi Note 10 JE 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,Xiaomi,Điện thoại Smartphone,THẮNG THAO MOBILE,12 Tháng,50.0,4.7,20.0,2599000.0,3990000.0,1391000.0,35.0,1000.0,1000.0,"Cấu hình Điện thoại Xiaomi Redmi Note 10 JE Màn hình: IPS LCD 6.5"" Full HD+Hệ điều hành: Android 11Camera sau: Chính 48 MP & Phụ 2 MP, 2 MPCamera trước: 8 MPChip: Snapdragon 480 5GRAM: 4 GB...",https://tiki.vn/dien-thoai-xiaomi-redmi-note-10-je-5g-4gb-64gb-man-90hz-chong-nuoc-ip68-hang-nhap-khau-ban-quoc-te-p230155305.html?spid=230155309
216174672,3357796665916,Điện thoại Samsung Galaxy S23 Plus 5G (8GB/512GB) - Hàng chính hãng ,Samsung,Điện thoại Smartphone,Tiki Trading,12 Tháng,4.0,0.0,0.0,29990000.0,29990000.0,0.0,0.0,1000.0,1000.0,"Tuyệt tác sắc màu thiên nhiênSự kết hợp giữa sắc màu thiên nhiên và công nghệ chế tác vượt trội, viền siêu mỏng, khung kim loại bo cong sang trọng, Samsung Galaxy S23 Plus 5G đạt chuẩn điện thoại cao...",https://tiki.vn/dien-thoai-samsung-galaxy-s23-plus-5g-8gb-512gb-hang-chinh-hang-p216174672.html?spid=216174676
216173180,2870045370441,Điện thoại Samsung Galaxy S23 5G (8GB/256GB) - Hàng chính hãng,Samsung,Điện thoại Smartphone,Tiki Trading,12 Tháng,458.0,5.0,1.0,24990000.0,24990000.0,0.0,0.0,1000.0,1000.0,"Cảm hứng từ muôn sắc màu thiên nhiênGặp gỡ muôn sắc màu thiên nhiên trên Samsung Galaxy S23 5G, bạn sẽ ngạc nhiên vì nét đẹp cuốn hút này. Nét đẹp khó nhầm lẫn với bất kỳ đại diện nào.Các sắc màu t...",https://tiki.vn/dien-thoai-samsung-galaxy-s23-5g-8gb-256gb-hang-chinh-hang-p216173180.html?spid=216173186
253269077,7540957020809,Điện thoại Samsung Galaxy A14 LTE 4GB/128GB - Hàng Chính Hãng - Đã kích hoạt bảo hành,Samsung,Điện thoại Smartphone,Tiki Trading,12 Tháng,122.0,4.7,19.0,3250000.0,4490000.0,1240000.0,28.0,1000.0,1000.0,   ...,https://tiki.vn/dien-thoai-samsung-galaxy-a14-lte-4gb-128gb-hang-chinh-hang-da-kich-hoat-bao-hanh-p253269077.html?spid=253269088
175845367,1676834040443,Điện Thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,Điện thoại Smartphone,Tiki Trading,12 Tháng,549.0,4.8,175.0,6990000.0,9990000.0,3000000.0,30.0,1000.0,1000.0,"Màn hình giải trí siêu mượt 120 HzSamsung Galaxy S20 FE được trang bị màn hình siêu tràn viền Infinity-O có kích thước 6.5 inch đi cùng tấm nền Super AMOLED, độ phân giải Full HD+ cho người dùng dễ ...",https://tiki.vn/dien-thoai-samsung-galaxy-s20-fe-8gb-256gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p175845367.html?spid=175845369
171897574,4859085307208,Điện thoại Xiaomi Redmi 10C (4GB/128GB) - Hàng chính hãng,Xiaomi,Điện thoại Smartphone,Tiki Trading,18 Tháng,228.0,4.8,55.0,2990000.0,4390000.0,1400000.0,32.0,1000.0,1000.0,"Snapdragon 680 mạnh mẽ, tiết kiệm điệnĐiện thoại Xiaomi Redmi 10C được tích hợp bộ vi xử lý tám nhân với tên gọi Snapdragon 680. Đây là con chip sản xuất trên tiến trình 6nm đem lại hiệu năng hàng đầ...",https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4gb-128gb-hang-chinh-hang-p171897574.html?spid=216003202
125182567,4604296397887,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,Kindle,Máy đọc sách,Techmorevn,12 Tháng,1186.0,5.0,344.0,3420000.0,3990000.0,570000.0,14.0,1000.0,1000.0,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,https://tiki.vn/may-doc-sach-all-new-kindle-paperwhite-5-11th-gen-hang-nhap-khau-p125182567.html?spid=125182569
184059211,3643515408223,Apple iPhone 13,Apple,Điện thoại Smartphone,Tiki Trading,12 Tháng,5465.0,5.0,1779.0,15990000.0,24990000.0,9000000.0,36.0,1000.0,1000.0,iPhone 13. Hệ thống camera kép tiên tiến nhất từng có trên iPhone. Chip A15 Bionic thần tốc. Bước nhảy vọt về thời lượng pin. Thiết kế bền bỉ. Mạng 5G siêu nhanh.1 Cùng với màn hình Super Retina XDR s...,https://tiki.vn/apple-iphone-13-hang-chinh-hang-p184059211.html?spid=123547399
